,time,posicao,evento,InicioMin,FimMin,Tempo,x,y,x2,y2,jogo,ano
0,Casa,JP Amaro,Interceptação,0,1,1,30,31,30,31,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
1,Casa,Victor Reis,Recuperação,0,1,1,55,32,55,32,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
2,Casa,Victor Reis,Duelo defensivo,0,1,1,55,32,55,76,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
3,Casa,Matheus Maia,Duelo defensivo,0,1,1,60,23,60,23,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
4,Casa,Victor Reis,Recuperação,0,1,1,68,15,68,15,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
5,Casa,Matheus Maia,Duelo defensivo,0,1,1,56,5,56,5,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
6,Casa,Matheus Maia,Passe certo,0,1,1,44,6,34,12,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
7,Casa,JP Amaro,Passe certo,0,1,1,19,11,3,31,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
8,Casa,PH Montavani,Passe certo,0,1,1,3,32,6,40,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
9,Casa,Matheus Rocha,Passe errado,0,1,1,20,41,68,6,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
10,Casa,Matheus Maia,Duelo defensivo,0,1,1,64,7,64,7,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
11,Casa,Matheus Maia,Duelo defensivo,0,1,1,58,5,58,5,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
12,Casa,JP Amaro,Passe certo,0,1,1,49,9,37,43,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
66,Casa,Matheus Rocha,Passe certo,1,2,1,37,42,32,43,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
67,Casa,Marcelo Almeida,Passe certo,1,2,1,43,36,46,10,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
68,Casa,JP Amaro,Passe certo,1,2,1,54,6,96,7,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
69,Casa,Matheus Maia,Passe certo,1,2,1,97,15,89,28,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
70,Casa,Victor Reis,Passe errado,1,2,1,88,24,104,58,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
71,Casa,Lucas Rosario,Recuperação,1,2,1,105,77,105,77,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
72,Casa,Lucas Rosario,Passe certo,1,2,1,105,77,110,54,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
73,Casa,Matheus Conceição,Chute,1,2,1,120,58,120,58,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
74,Casa,Leo Izidoro,Interceptação,1,2,1,55,10,55,10,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
115,Casa,JP Amaro,Passe certo,2,3,1,49,8,38,26,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
116,Casa,Marcelo Almeida,Passe certo,2,3,1,47,41,58,22,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
117,Casa,Victor Reis,Passe certo,2,3,1,61,14,50,9,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
118,Casa,JP Amaro,Passe certo,2,3,1,52,8,13,36,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
119,Casa,PH Montavani,Passe certo,2,3,1,14,33,37,77,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
120,Casa,Matheus Rocha,Passe certo,2,3,1,40,76,35,47,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
121,Casa,Marcelo Almeida,Passe certo,2,3,1,41,40,46,9,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1,2024
