Visitante,GOL,Rec,52,16,52,16
Casa,GOL,Rec,67,69,67,69
Visitante,GOL,RecNCA,71,40,14,27
Visitante,GOL,RecNCA,53,10,36,15
Visitante,GOL,1ª Bola,63,26,63,26
Casa,GOL,2ª Bola,56,39,56,39
Casa,GOL,RecNCA,65,20,89,16
Casa,GOL,1ª Bola,80,76,80,76
Visitante,GOL,1ª Bola,56,74,56,74
Visitante,GOL,RecNCA,50,69,9,56
Casa,GOL,Rec,23,64,23,64
Visitante,GOL,Rec,20,62,20,62
Visitante,GOL,RecNCA,63,27,40,20
Casa,GOL,Rec,37,23,37,23
Casa,GOL,1ª Bola,42,69,42,69
Casa,GOL,RecNCA,41,67,67,52
Visitante,GOL,RecNCA,86,12,62,10
Casa,GOL,Rec,17,2,17,2
Casa,GOL,1ª Bola,42,73,42,73
Casa,GOL,RecNCA,42,78,81,27
Casa,GOL,Rec,82,29,82,29
Visitante,GOL,1ª Bola,108,43,108,43
Visitante,GOL,RecCA,40,61,9,27
Casa,GOL,1ª Bola,9,40,9,40
Visitante,GOL,2ª Bola,19,44,19,44
Visitante,GOL,2ª Bola,11,47,11,47
Visitante,GOL,RecCA,12,57,7,38
Casa,GOL,1ª Bola,9,33,9,33
Casa,GOL,1ª Bola,9,51,9,51
Visitante,GOL,1ª Bola,36,69,36,69
Visitante,GOL,1ª Bola,65,47,65,47
Casa,GOL,2ª Bola,70,36,70,36
Casa,GOL,RecNCA,70,36,112,65
Visitante,GOL,1ª Bola,114,48,114,48
Visitante,GOL,2ª Bola,114,40,114,40
Casa,GOL,2ª Bola,92,34,92,34
Casa,GOL,RecNCA,60,18,81,17
Visitante,GOL,Rec,80,17,80,17
Casa,GOL,1ª Bola,55,59,55,59
Casa,GOL,2ª Bola,40,51,40,51
Casa,GOL,Rec,40,49,40,49
Visitante,GOL,1ª Bola,115,38,115,38
Casa,GOL,2ª Bola,110,16,110,16
Casa,GOL,Rec,53,34,53,34
Visitante,GOL,1ª Bola,112,43,112,43
Visitante,GOL,2ª Bola,97,45,97,45
Visitante,GOL,2ª Bola,105,42,105,42
Casa,GOL,RecCA,106,52,112,59
Visitante,GOL,1ª Bola,111,34,111,34
Casa,GOL,2ª Bola,86,2,86,2
Casa,GOL,1ª Bola,43,11,43,11
