time,posicao,evento,tempo,x,y,x2,y2
Rio Claro,GOL,Rec,rioclaro_ituano\rioclaro_ituano_0_1_1.csv,45,5,45,5
Rio Claro,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_12_13_1.csv,9,39,9,39
Rio Claro,GOL,2ª Bola,rioclaro_ituano\rioclaro_ituano_13_14_1.csv,9,46,9,46
Ituano,GOL,RecCA,rioclaro_ituano\rioclaro_ituano_13_14_1.csv,1,69,3,45
Rio Claro,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_13_14_1.csv,15,32,33,29
Rio Claro,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_13_14_1.csv,48,9,107,46
Rio Claro,GOL,Rec,rioclaro_ituano\rioclaro_ituano_16_17_1.csv,46,44,46,44
Rio Claro,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_16_17_1.csv,57,14,57,14
Rio Claro,GOL,Rec,rioclaro_ituano\rioclaro_ituano_16_17_1.csv,29,7,29,7
Rio Claro,GOL,Rec,rioclaro_ituano\rioclaro_ituano_1_2_1.csv,102,58,102,58
Rio Claro,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_20_21_1.csv,33,25,57,61
Rio Claro,GOL,Rec,rioclaro_ituano\rioclaro_ituano_20_21_1.csv,51,33,51,33
Rio Claro,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_21_22_1.csv,41,42,41,42
Rio Claro,GOL,Finalização,rioclaro_ituano\rioclaro_ituano_26_27_1.csv,108,27,108,27
Rio Claro,GOL,Rec,rioclaro_ituano\rioclaro_ituano_27_28_1.csv,48,14,48,14
Rio Claro,GOL,RecCA,rioclaro_ituano\rioclaro_ituano_29_30_1.csv,69,27,102,37
Rio Claro,GOL,Finalização,rioclaro_ituano\rioclaro_ituano_29_30_1.csv,103,37,103,37
Rio Claro,GOL,Rec,rioclaro_ituano\rioclaro_ituano_2_3_1.csv,57,10,57,10
Rio Claro,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_2_3_1.csv,105,10,105,10
Rio Claro,GOL,Rec,rioclaro_ituano\rioclaro_ituano_2_3_1.csv,89,6,89,6
Rio Claro,GOL,RecCA,rioclaro_ituano\rioclaro_ituano_30_31_1.csv,5,14,98,22
Rio Claro,GOL,Finalização,rioclaro_ituano\rioclaro_ituano_30_31_1.csv,101,24,101,23
Rio Claro,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_33_34_1.csv,80,79,90,61
Rio Claro,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_34_35_1.csv,15,46,48,39
Rio Claro,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_34_35_1.csv,42,26,94,44
Rio Claro,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_35_36_1.csv,97,33,110,46
Rio Claro,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_35_36_1.csv,113,61,113,36
Rio Claro,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_35_36_1.csv,112,3,117,36
Rio Claro,GOL,Finalização,rioclaro_ituano\rioclaro_ituano_35_36_1.csv,116,30,116,30
Rio Claro,GOL,Finalização,rioclaro_ituano\rioclaro_ituano_35_36_1.csv,112,35,112,35
Rio Claro,GOL,Falta,rioclaro_ituano\rioclaro_ituano_36_37_1.csv,101,2,101,2
Rio Claro,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_37_38_1.csv,21,2,39,15
Rio Claro,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_37_38_1.csv,32,17,31,2
Rio Claro,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_37_38_1.csv,36,21,84,79
Rio Claro,GOL,Falta,rioclaro_ituano\rioclaro_ituano_38_39_1.csv,55,79,55,79
Rio Claro,GOL,RecCA,rioclaro_ituano\rioclaro_ituano_39_40_1.csv,41,52,103,29
Rio Claro,GOL,Finalização,rioclaro_ituano\rioclaro_ituano_39_40_1.csv,104,27,104,27
Rio Claro,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_3_4_1.csv,42,79,54,77
Rio Claro,GOL,Falta,rioclaro_ituano\rioclaro_ituano_3_4_1.csv,35,80,35,80
Rio Claro,GOL,2ª Bola,rioclaro_ituano\rioclaro_ituano_4_5_1.csv,64,42,64,42
Rio Claro,GOL,Rec,rioclaro_ituano\rioclaro_ituano_4_5_1.csv,40,44,40,44
Rio Claro,GOL,Finalização,rioclaro_ituano\rioclaro_ituano_5_6_1.csv,88,46,88,46
Rio Claro,GOL,Rec,rioclaro_ituano\rioclaro_ituano_6_7_1.csv,34,25,34,25
Rio Claro,GOL,2ª Bola,rioclaro_ituano\rioclaro_ituano_6_7_1.csv,49,12,49,12
Rio Claro,GOL,Rec,rioclaro_ituano\rioclaro_ituano_6_7_1.csv,55,20,55,20
Rio Claro,GOL,Rec,rioclaro_ituano\rioclaro_ituano_7_8_1.csv,76,12,76,12
Rio Claro,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_7_8_1.csv,56,44,78,77
Rio Claro,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_8_9_1.csv,64,48,120,59
Rio Claro,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_9_10_1.csv,48,15,48,15
Rio Claro,GOL,2ª Bola,rioclaro_ituano\rioclaro_ituano_9_10_1.csv,34,17,34,17
Rio Claro,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_9_10_1.csv,29,8,41,14
Rio Claro,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_9_10_1.csv,58,15,58,15
Rio Claro,GOL,Falta,rioclaro_ituano\rioclaro_ituano_9_10_1.csv,82,78,82,78
Ituano,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_0_1_1.csv,74,10,74,10
Ituano,GOL,Falta,rioclaro_ituano\rioclaro_ituano_0_1_1.csv,48,8,48,8
Ituano,GOL,Falta,rioclaro_ituano\rioclaro_ituano_10_11_1.csv,60,9,60,9
Ituano,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_13_14_1.csv,16,43,16,43
Ituano,GOL,Falta,rioclaro_ituano\rioclaro_ituano_14_15_1.csv,17,64,17,64
Ituano,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_15_16_1.csv,87,39,87,39
Ituano,GOL,Rec,rioclaro_ituano\rioclaro_ituano_15_16_1.csv,82,39,82,39
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_15_16_1.csv,45,56,25,21
Ituano,GOL,Rec,rioclaro_ituano\rioclaro_ituano_15_16_1.csv,28,19,28,19
Ituano,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_16_17_1.csv,88,36,88,36
Ituano,GOL,Falta,rioclaro_ituano\rioclaro_ituano_18_19_1.csv,2,14,2,14
Ituano,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_19_20_1.csv,85,31,85,31
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_19_20_1.csv,66,10,51,15
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_20_21_1.csv,53,72,38,68
