posicao,xT,jogo
Gabriel Abdias,-0.01,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1
JP Amaro,-0.02,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1
Jhone Costa,0.02,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1
Jonathan Camargo,-0.01,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1
Kaique Clemente,2.51,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1
Leo Izidoro,0.21,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1
Lucas Rosario,0.72,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1
Lucas Stefanello,-0.08,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1
Marcelo Almeida,0.05,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1
Matheus Conceição,-0.42,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1
Matheus Maia,0.21,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1
Matheus Rocha,0.2,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1
PH Leite,0.0,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1
PH Montavani,0.05,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1
Victor Moraes,0.01,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1
Victor Reis,0.04,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1
Vinícius de Oliveira,-0.01,Ituano x Desp. Brasil - Paulistão 2024 - Rodada 1
